"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in p.value_classic"	"p.value_elim"	"p.value_classic"	"genes"
"278"	"GO:0070228"	"regulation of lymphocyte apoptotic process"	46	12	2.55	229	0.0193	5.3e-06	"ADAM8,AURKB,BCL6,CCL5,CD274,CD74,GIMAP8,IDO1,JAK3,LYN,P2RX7,PDCD1"
"279"	"GO:0032691"	"negative regulation of interleukin-1 beta production"	21	7	1.17	316	0.01956	9.2e-05	"CARD16,CARD17,CX3CR1,GHRL,MEFV,PML,ZC3H12A"
"280"	"GO:0090713"	"immunological memory process"	11	3	0.61	824	0.01981	0.02011	"BCL6,FGL2,IL12RB1"
"281"	"GO:0043374"	"CD8-positive, alpha-beta T cell differentiation"	11	3	0.61	825	0.01981	0.02011	"IRF1,SOCS1,TNFSF8"
"282"	"GO:0010832"	"negative regulation of myotube differentiation"	11	3	0.61	826	0.01981	0.02011	"BHLHE41,CXCL10,TMEM119"
"283"	"GO:0070673"	"response to interleukin-18"	11	3	0.61	827	0.01981	0.02011	"IL18BP,RIPK2,TICAM2"
"284"	"GO:0045078"	"positive regulation of interferon-gamma biosynthetic process"	11	3	0.61	828	0.01981	0.02011	"IL27,TLR7,TLR8"
"285"	"GO:0045006"	"DNA deamination"	11	3	0.61	829	0.01981	0.02011	"APOBEC3A,APOBEC3D,APOBEC3G"
"286"	"GO:2000341"	"regulation of chemokine (C-X-C motif) ligand 2 production"	11	3	0.61	830	0.01981	0.02011	"CD74,KLF4,MCOLN2"
"287"	"GO:0002863"	"positive regulation of inflammatory response to antigenic stimulus"	11	3	0.61	831	0.01981	0.02011	"C3,CD28,HLA-E"
"288"	"GO:0071888"	"macrophage apoptotic process"	11	3	0.61	832	0.01981	0.02011	"CCL5,IRF7,NOD2"
"289"	"GO:0002834"	"regulation of response to tumor cell"	11	3	0.61	833	0.01981	0.02011	"CD274,CEACAM1,IL12A"
"290"	"GO:0002837"	"regulation of immune response to tumor cell"	11	3	0.61	834	0.01981	0.02011	"CD274,CEACAM1,IL12A"
"291"	"GO:0072540"	"T-helper 17 cell lineage commitment"	11	3	0.61	835	0.01981	0.02011	"IL12RB1,SLAMF6,TBX21"
"292"	"GO:0098883"	"synapse pruning"	11	3	0.61	836	0.01981	0.02011	"C1QB,C3,CX3CR1"
"293"	"GO:0001696"	"gastric acid secretion"	11	3	0.61	837	0.01981	0.02011	"GHRL,HRH2,SNX10"
"294"	"GO:0046851"	"negative regulation of bone remodeling"	11	3	0.61	838	0.01981	0.02011	"CD38,P2RX7,TMEM119"
"295"	"GO:0002903"	"negative regulation of B cell apoptotic process"	11	3	0.61	839	0.01981	0.02011	"AURKB,BCL6,CD74"
"296"	"GO:1901841"	"regulation of high voltage-gated calcium channel activity"	11	3	0.61	840	0.01981	0.02011	"DYSF,PDE4B,SRI"
"297"	"GO:2001198"	"regulation of dendritic cell differentiation"	11	3	0.61	841	0.01981	0.02011	"HLA-G,TMEM176A,TMEM176B"
"298"	"GO:0070570"	"regulation of neuron projection regeneration"	29	5	1.61	842	0.01993	0.02036	"HGF,KLF4,KREMEN1,RTN4RL1,SCARF1"
"299"	"GO:0007435"	"salivary gland morphogenesis"	29	5	1.61	843	0.01993	0.02036	"EDA,HGF,NRP1,POLB,TGM2"
"300"	"GO:0006471"	"protein ADP-ribosylation"	29	5	1.61	844	0.01993	0.02036	"ART3,PARP10,PARP12,PARP14,WARS1"
"301"	"GO:0045730"	"respiratory burst"	29	5	1.61	845	0.01993	0.02036	"NCF1,NCF1B,NCF1C,SLAMF8,SLC11A1"
"302"	"GO:0007188"	"adenylate cyclase-modulating G protein-coupled receptor signaling pathway"	125	13	6.94	852	0.02051	0.02136	"ADGRE5,ADGRG5,CXCL10,CXCL11,CXCL9,EDN1,GNG2,GRM8,PTGER4,RAPGEF2,RXFP1,S1PR1,SSTR2"
"303"	"GO:0010508"	"positive regulation of autophagy"	112	12	6.22	853	0.0206	0.02141	"BCL2L11,CALCOCO2,LRRK2,MEFV,OPTN,RALB,RIPK2,RUFY4,SESN3,TPCN1,TRIM22,ZC3H12A"
"304"	"GO:0046635"	"positive regulation of alpha-beta T cell activation"	51	7	2.83	854	0.02117	0.02175	"CD28,CD80,HLA-E,IL12A,IL12RB1,RIPK2,SOCS1"
"305"	"GO:0006952"	"defense response"	1241	197	68.9	2	0.02122	NA	"ACOD1,ADAM8,ADGRE5,ADORA3,AGT,AIM2,AOC3,APOBEC3A,APOBEC3D,APOBEC3G,APOL1,APOL2,APOL3,APPL2,ASIC1,B2M,BATF2,BCL6,C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,CALCOCO2,CAMK2D,CASP4,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CCRL2,CD28,CD300LF,CD40,CD74,CDH5,CEACAM1,CFB,CFH,CIITA,CLEC10A,CLEC6A,COLEC12,CR1L,CRHBP,CTSS,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,CXCR3,CYLD,CYSLTR1,DDX60,DTX3L,EDN1,FCN1,FGL2,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,GCH1,GGT5,GHRL,GRAMD4,GSDMD,H2BC21,HGF,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,ICAM2,IDO1,IFI27,IFI35,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IL12A,IL12RB1,IL15,IL1RN,IL22RA2,IL27,IL31RA,IL32,IRF1,IRF7,ISG20,ITK,JAK2,JAK3,KARS1,KLF4,KLRK1,LAG3,LGALS3BP,LILRA1,LILRA2,LILRB3,LRRK2,LY75,LYN,MCOLN2,MEFV,MMP25,MMP9,MSRB1,MT2A,MUC1,NCF1,NLRC5,NLRP12,NMI,NOD2,NUB1,OAS2,OPTN,OSM,P2RX7,PARP14,PMAIP1,PML,POLB,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGER4,PYHIN1,RAB20,RELB,RIPK2,RSAD2,RTP4,SBNO2,SERINC5,SERPING1,SLAMF1,SLAMF6,SLAMF7,SLAMF8,SLC11A1,SOCS1,SP140,STAP1,STAT1,STAT2,SUCNR1,TAP1,TGM2,TICAM2,TIFA,TLR10,TLR5,TLR7,TLR8,TNFAIP6,TNFRSF11A,TNFSF8,TRAFD1,TRIM22,TRIM31,TSPAN32,UBD,VCAM1,XAF1,ZBP1,ZC3H12A"
"306"	"GO:0051092"	"positive regulation of NF-kappaB transcription factor activity"	139	14	7.72	860	0.02136	0.02229	"ADAM8,AGT,AIM2,CARD16,CD40,CX3CR1,EDA,ICAM1,NOD2,RHEBL1,RIPK2,TNFRSF11A,TNFSF18,TRIM22"
"307"	"GO:1901653"	"cellular response to peptide"	309	26	17.15	873	0.02137	0.02272	"AGT,APPL2,ATP6V0D2,BCL2L11,CASP4,CCNA2,CDC6,CEACAM1,CISH,CRHBP,EDN1,GHRL,ICAM1,JAK2,JAK3,KLF4,LYN,NOD2,PDE3B,PDK4,PID1,RIPK2,SESN3,SOCS1,STAT1,VCAM1"
"308"	"GO:0032757"	"positive regulation of interleukin-8 production"	40	6	2.22	857	0.0214	0.02193	"CD74,FCN1,NOD2,TLR5,TLR7,TLR8"
"309"	"GO:0033045"	"regulation of sister chromatid segregation"	75	9	4.16	868	0.02188	0.02259	"AURKB,BUB1B,CDC6,CDCA5,CDT1,FEN1,MAD2L1,NDC80,RMI2"
"310"	"GO:0055072"	"iron ion homeostasis"	63	8	3.5	869	0.02195	0.0226	"ABCG2,ATP13A2,B2M,EPAS1,SLC11A1,SLC25A28,SRI,STEAP4"
"311"	"GO:1903670"	"regulation of sprouting angiogenesis"	63	8	3.5	870	0.02195	0.0226	"CEACAM1,DLL1,E2F2,GHRL,GLUL,KLF4,MIR503,NRP1"
"312"	"GO:0003013"	"circulatory system process"	391	39	21.71	366	0.02195	0.00028	"ADORA3,AGT,ANK2,ATP1B2,CACNA2D3,CAMK2D,CD38,CDH5,CEACAM1,COMP,CXADR,CXCL10,DLL1,EDN1,EPAS1,ERAP2,GCH1,GHRL,GJD3,HBEGF,HRH2,ICAM1,JAK2,KCNJ2,LRP5,MYOF,NPR1,P2RX4,PDE4B,SCN4B,SERPING1,SLC2A5,SPTBN4,SRI,STAT1,SUCNR1,TRDN,VEGFC,ZC3H12A"
"313"	"GO:0006925"	"inflammatory cell apoptotic process"	20	4	1.11	862	0.022	0.0224	"CCL5,HCAR2,IRF7,NOD2"
"314"	"GO:0045922"	"negative regulation of fatty acid metabolic process"	20	4	1.11	863	0.022	0.0224	"APPL2,BRCA1,CEACAM1,DGAT2"
"315"	"GO:0010880"	"regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum"	20	4	1.11	864	0.022	0.0224	"ANK2,CAMK2D,SRI,TRDN"
"316"	"GO:0032461"	"positive regulation of protein oligomerization"	20	4	1.11	865	0.022	0.0224	"AIM2,BCL2L11,PMAIP1,TRABD2A"
"317"	"GO:0006271"	"DNA strand elongation involved in DNA replication"	20	4	1.11	866	0.022	0.0224	"FEN1,GINS2,MCM4,MCM7"
"318"	"GO:0007628"	"adult walking behavior"	20	4	1.11	867	0.022	0.0224	"CTNS,DAB1,KCNJ10,SPTBN4"
"319"	"GO:0060326"	"cell chemotaxis"	240	38	13.32	100	0.02217	4.2e-09	"ADAM8,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CCRL2,CD300H,CD74,CX3CR1,CXADR,CXCL10,CXCL11,CXCL5,CXCL9,CXCR3,DYSF,EDN1,GPR183,HBEGF,HGF,HSD3B7,IL12A,IL1RN,KARS1,KLRK1,LYN,NRP1,P2RX4,PADI2,PDE4B,S1PR1,SLAMF8,STAP1,TNFRSF11A,VCAM1,VEGFC"
"320"	"GO:0042088"	"T-helper 1 type immune response"	40	9	2.22	365	0.02244	0.00028	"CD80,IL12A,IL12RB1,IL18BP,IL27,JAK3,RELB,RIPK2,SLC11A1"
"321"	"GO:1902107"	"positive regulation of leukocyte differentiation"	125	16	6.94	478	0.02259	0.00149	"ADAM8,BCL6,BTN2A2,CD101,CD74,CD80,CYLD,FLT3LG,HLA-G,IL12A,IL12RB1,IL15,KITLG,RIPK2,SOCS1,TESC"
"322"	"GO:0071354"	"cellular response to interleukin-6"	30	5	1.67	874	0.02286	0.02335	"ICAM1,JAK2,PID1,SBNO2,STAT1"
"323"	"GO:0061756"	"leukocyte adhesion to vascular endothelial cell"	30	5	1.67	875	0.02286	0.02335	"CX3CR1,ICAM1,KLF4,SELL,VCAM1"
"324"	"GO:0032735"	"positive regulation of interleukin-12 production"	30	5	1.67	876	0.02286	0.02335	"CD40,HLA-G,IDO1,IRF1,RIPK2"
"325"	"GO:1902622"	"regulation of neutrophil migration"	30	5	1.67	877	0.02286	0.02335	"ADAM8,CD74,DYSF,EDN1,SLAMF8"
"326"	"GO:0045446"	"endothelial cell differentiation"	88	10	4.89	878	0.02288	0.02367	"CDH5,CEACAM1,COL23A1,DLL1,ICAM1,MARVELD2,NRP1,RAPGEF2,S1PR1,SOX17"
"327"	"GO:0002262"	"myeloid cell homeostasis"	127	13	7.05	880	0.02307	0.02401	"B2M,BCL2L11,BCL6,EPAS1,HCAR2,JAK2,JAK3,KITLG,LYN,NCAPG2,PDE4B,STAT1,TAL1"
"328"	"GO:1902807"	"negative regulation of cell cycle G1/S phase transition"	101	11	5.61	881	0.02331	0.02417	"BTN2A2,CDK1,CDKN2C,E2F1,E2F8,FAM107A,GTSE1,KLF4,MIR503,MUC1,PML"
"329"	"GO:0035821"	"modification of morphology or physiology of other organism"	114	12	6.33	882	0.02334	0.02424	"APOL1,BCL2L11,CCL13,CCL5,CCL8,GSDMD,IFI27,IGF2R,KPNA5,P2RX7,TYMS,ZC3H12A"
"330"	"GO:0001960"	"negative regulation of cytokine-mediated signaling pathway"	52	7	2.89	879	0.02334	0.02398	"CARD16,CCL5,IL1RN,NLRC5,PADI2,PARP14,STAP1"
"331"	"GO:0019722"	"calcium-mediated signaling"	168	16	9.33	889	0.02345	0.02454	"ANK2,CAMK2D,CCRL2,CX3CR1,CXCR3,EDN1,GBP1,LRRK2,MCTP2,MYOZ2,P2RX4,P2RX7,PLEK,SRI,TRDN,VCAM1"
"332"	"GO:0032755"	"positive regulation of interleukin-6 production"	76	9	4.22	884	0.02365	0.02441	"CD74,IFIH1,IL1RN,LILRA2,NOD2,P2RX7,RIPK2,TLR7,TLR8"
"333"	"GO:0007189"	"adenylate cyclase-activating G protein-coupled receptor signaling pathway"	76	9	4.22	885	0.02365	0.02441	"ADGRE5,ADGRG5,CXCL10,CXCL11,CXCL9,GNG2,PTGER4,RAPGEF2,RXFP1"
"334"	"GO:0051865"	"protein autoubiquitination"	64	8	3.55	890	0.02391	0.02462	"BRCA1,DTX3L,LRRK2,RNF19B,RNF213,TRIM17,UBE2T,UHRF1"
"335"	"GO:0019226"	"transmission of nerve impulse"	41	6	2.28	886	0.02394	0.02452	"AGT,GHRL,P2RX4,S1PR1,SPTBN4,TYMP"
"336"	"GO:0007218"	"neuropeptide signaling pathway"	41	6	2.28	887	0.02394	0.02452	"CYSLTR1,CYSLTR2,ECEL1,NXPH2,RAPGEF2,SSTR2"
"337"	"GO:0070192"	"chromosome organization involved in meiotic cell cycle"	41	6	2.28	888	0.02394	0.02452	"BUB1B,CCNE2,DMC1,HORMAD1,MEIKIN,NCAPH"
"338"	"GO:0048646"	"anatomical structure formation involved in morphogenesis"	875	70	48.58	455	0.0246	0.00116	"ADAM8,AGT,AMOT,ANK2,ATP8B1,BCL2L11,BCL6,BRCA1,C3,CD40,CDH5,CEACAM1,CELSR1,CHRD,COL23A1,CX3CR1,CXCL10,CXCL9,CXCR3,DLL1,DYSF,E2F2,E2F8,EDA,EDN1,EGR2,ENPP2,EPAS1,EPHB3,FAM20A,FLT3LG,GHRL,GLUL,HESX1,HGF,HLA-G,IFT122,ITGA7,KLF4,LAMB3,MIR503,MMP9,MYOF,MYOZ2,NPR1,NRP1,PDE3B,PIM1,PLCD3,PLXNA2,PML,RNF213,S1PR1,SAT1,SBNO2,SH3PXD2A,SOX17,SSBP3,STAT1,TAL1,TGM2,THBS2,TIFAB,TNFAIP2,TNFSF13B,TYMP,VEGFC,WARS1,XRCC2,ZC3H12A"
"339"	"GO:0044774"	"mitotic DNA integrity checkpoint"	102	11	5.66	897	0.02488	0.02579	"CDC6,CDK1,CLSPN,E2F1,E2F8,GTSE1,MUC1,ORC1,PML,TICRR,TOP2A"
"340"	"GO:0000070"	"mitotic sister chromatid segregation"	145	17	8.05	541	0.02506	0.0028	"AURKB,BUB1B,CDC6,CDCA5,CDT1,CENPK,CHMP4C,DSCC1,KIF18B,MAD2L1,NCAPG,NCAPH,NDC80,NUF2,NUSAP1,PRC1,ZWINT"
"341"	"GO:0051338"	"regulation of transferase activity"	844	63	46.86	682	0.02527	0.00947	"ACSL1,ADAM8,AGT,AURKB,CCL5,CCNA2,CCNE2,CCNF,CD40,CD74,CDC25A,CDC6,CDK1,CDKN2C,CEACAM1,CISH,CLSPN,CXCL10,DAB1,DEPTOR,DSCC1,DTNBP1,DTX3L,EDN1,FAM20A,GADD45B,GHRL,HGF,IQGAP3,ITSN1,JAK2,KARS1,KITLG,KLF4,LRP5,LRRK2,LYN,MAD2L1,MMD,MVP,NCAPG2,NCF1,NLRC5,NOD2,NRK,P2RX7,PKIB,PKMYT1,PLAAT4,PPM1E,RALB,RAPGEF2,RIPK2,SERINC5,SLAMF8,SLC11A1,SOCS1,STAP1,TAL1,TESC,TNFAIP8L3,TNFRSF11A,WARS1"
"342"	"GO:0002281"	"macrophage activation involved in immune response"	12	3	0.67	891	0.02535	0.02573	"DYSF,SBNO2,SUCNR1"
"343"	"GO:0045342"	"MHC class II biosynthetic process"	12	3	0.67	892	0.02535	0.02573	"CIITA,JAK2,SLC11A1"
"344"	"GO:0035435"	"phosphate ion transmembrane transport"	12	3	0.67	893	0.02535	0.02573	"ANKH,SLC20A1,SLC37A1"
"345"	"GO:0070493"	"thrombin-activated receptor signaling pathway"	12	3	0.67	894	0.02535	0.02573	"F2RL3,PLEK,STMN1"
"346"	"GO:0035813"	"regulation of renal sodium excretion"	12	3	0.67	895	0.02535	0.02573	"AGT,EDN1,NPR1"
"347"	"GO:0031953"	"negative regulation of protein autophosphorylation"	12	3	0.67	896	0.02535	0.02573	"GFRA2,MVP,NLRP12"
"348"	"GO:0001776"	"leukocyte homeostasis"	75	12	4.16	432	0.02543	0.00081	"BCL2L11,CD74,GPR183,HCAR2,JAK3,KITLG,LYN,P2RX7,PDE4B,PMAIP1,SIT1,TNFSF13B"
"349"	"GO:0009612"	"response to mechanical stimulus"	170	16	9.44	919	0.02586	0.02705	"AGT,CD40,CXCL10,EDN1,FAS,IRF1,KCNJ2,P2RX7,PKD1L3,PTGER4,STAT1,TIFAB,TLR5,TLR7,TLR8,USP53"
"350"	"GO:0010758"	"regulation of macrophage chemotaxis"	21	4	1.17	898	0.02602	0.02649	"CCL5,KARS1,SLAMF8,STAP1"
"351"	"GO:1902914"	"regulation of protein polyubiquitination"	21	4	1.17	899	0.02602	0.02649	"DYSF,NMI,NOD2,PARP10"
"352"	"GO:0002360"	"T cell lineage commitment"	21	4	1.17	900	0.02602	0.02649	"CYLD,IL12RB1,SLAMF6,TBX21"
"353"	"GO:0034162"	"toll-like receptor 9 signaling pathway"	21	4	1.17	901	0.02602	0.02649	"GRAMD4,RSAD2,TLR7,TLR8"
"354"	"GO:0051383"	"kinetochore organization"	21	4	1.17	902	0.02602	0.02649	"CDT1,CENPK,NDC80,NUF2"
"355"	"GO:0071459"	"protein localization to chromosome, centromeric region"	21	4	1.17	903	0.02602	0.02649	"AURKB,CDK1,CDT1,NDC80"
"356"	"GO:0051482"	"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway"	21	4	1.17	904	0.02602	0.02649	"EDN1,F2RL3,S1PR1,TGM2"
"357"	"GO:0014829"	"vascular smooth muscle contraction"	21	4	1.17	905	0.02602	0.02649	"AGT,CD38,COMP,EDN1"
"358"	"GO:0072539"	"T-helper 17 cell differentiation"	21	4	1.17	906	0.02602	0.02649	"IL12RB1,SLAMF6,TBX21,ZC3H12A"
"359"	"GO:0090025"	"regulation of monocyte chemotaxis"	21	4	1.17	907	0.02602	0.02649	"CCL5,CXCL10,LYN,SLAMF8"
"360"	"GO:0021602"	"cranial nerve morphogenesis"	21	4	1.17	908	0.02602	0.02649	"ATP8B1,EGR2,NRP1,TIFAB"
"361"	"GO:0043029"	"T cell homeostasis"	31	5	1.72	910	0.02605	0.02661	"BCL2L11,JAK3,P2RX7,PMAIP1,SIT1"
"362"	"GO:0070741"	"response to interleukin-6"	31	5	1.72	911	0.02605	0.02661	"ICAM1,JAK2,PID1,SBNO2,STAT1"
"363"	"GO:0002714"	"positive regulation of B cell mediated immunity"	31	5	1.72	912	0.02605	0.02661	"C3,CD28,CD40,HLA-E,TBX21"
"364"	"GO:1901031"	"regulation of response to reactive oxygen species"	31	5	1.72	913	0.02605	0.02661	"DHFR,GCH1,HGF,LRRK2,SESN3"
"365"	"GO:0002891"	"positive regulation of immunoglobulin mediated immune response"	31	5	1.72	914	0.02605	0.02661	"C3,CD28,CD40,HLA-E,TBX21"
"366"	"GO:0007093"	"mitotic cell cycle checkpoint"	158	19	8.77	459	0.02615	0.00121	"AURKB,BRCA1,BUB1B,CDC6,CDK1,CDT1,CHMP4C,CLSPN,E2F1,E2F8,GTSE1,MAD2L1,MUC1,NDC80,ORC1,PML,TICRR,TOP2A,ZWINT"
"367"	"GO:0007052"	"mitotic spindle organization"	103	11	5.72	929	0.02652	0.02748	"AURKB,BIRC5,CHMP4C,KIF11,MYBL2,NDC80,NUF2,PRC1,SPC25,STMN1,TACC2"
"368"	"GO:0014066"	"regulation of phosphatidylinositol 3-kinase signaling"	103	11	5.72	930	0.02652	0.02748	"AGT,BTN2A2,CCL5,CD28,CEACAM1,HGF,JAK2,KLF4,LYN,NCF1,OSM"
"369"	"GO:0000768"	"syncytium formation by plasma membrane fusion"	42	6	2.33	920	0.02667	0.02731	"CXCL10,CXCL9,FLT3LG,MYOF,SBNO2,SH3PXD2A"
"370"	"GO:0038066"	"p38MAPK cascade"	42	6	2.33	921	0.02667	0.02731	"CYLD,GADD45B,HGF,KARS1,NCF1,ZC3H12A"
"371"	"GO:0031103"	"axon regeneration"	42	6	2.33	922	0.02667	0.02731	"DHFR,JAK2,KLF4,KREMEN1,RTN4RL1,SCARF1"
"372"	"GO:0002712"	"regulation of B cell mediated immunity"	42	6	2.33	923	0.02667	0.02731	"BCL6,C3,CD28,CD40,HLA-E,TBX21"
"373"	"GO:0002889"	"regulation of immunoglobulin mediated immune response"	42	6	2.33	924	0.02667	0.02731	"BCL6,C3,CD28,CD40,HLA-E,TBX21"
"374"	"GO:1903524"	"positive regulation of blood circulation"	42	6	2.33	925	0.02667	0.02731	"CD38,EDN1,GCH1,GHRL,HRH2,ICAM1"
"375"	"GO:1904645"	"response to amyloid-beta"	42	6	2.33	926	0.02667	0.02731	"BCL2L11,CASP4,DNM1,ICAM1,MMP9,VCAM1"
"376"	"GO:0140253"	"cell-cell fusion"	42	6	2.33	927	0.02667	0.02731	"CXCL10,CXCL9,FLT3LG,MYOF,SBNO2,SH3PXD2A"
"377"	"GO:0043549"	"regulation of kinase activity"	750	57	41.64	681	0.02677	0.00939	"ACSL1,ADAM8,AGT,CCL5,CCNA2,CCNE2,CCNF,CD40,CD74,CDC25A,CDC6,CDK1,CDKN2C,CEACAM1,CISH,CLSPN,CXCL10,DAB1,DEPTOR,DTNBP1,EDN1,FAM20A,GADD45B,GHRL,HGF,IQGAP3,ITSN1,JAK2,KARS1,KITLG,KLF4,LRP5,LRRK2,LYN,MMD,MVP,NCAPG2,NCF1,NLRC5,NOD2,NRK,P2RX7,PKIB,PKMYT1,PPM1E,RALB,RAPGEF2,RIPK2,SLAMF8,SLC11A1,SOCS1,STAP1,TAL1,TESC,TNFAIP8L3,TNFRSF11A,WARS1"
"378"	"GO:0031145"	"anaphase-promoting complex-dependent catabolic process"	78	9	4.33	932	0.02749	0.02836	"AURKB,BUB1B,CDK1,MAD2L1,PSMB10,PSMB8,PSMB9,PSME1,PSME2"
"379"	"GO:0061982"	"meiosis I cell cycle process"	78	9	4.33	933	0.02749	0.02836	"CCNE2,CDC25A,DMC1,HORMAD1,MEIKIN,RAD54B,RAD54L,TDRD9,TOP2A"
"380"	"GO:0044093"	"positive regulation of molecular function"	1527	104	84.77	772	0.02781	0.01465	"ABCB1,ACSL1,ADAM8,AGT,AIM2,ANK2,ANTXR1,ARAP2,ATP1B2,AURKB,B2M,BCL2L11,CARD16,CASP4,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD40,CD74,CDC6,CDCA5,CDK1,CDT1,CLSPN,CTSS,CX3CR1,DAB1,DHFR,DSCC1,DTX3L,EDA,EDN1,FAM13A,FAM20A,FAS,GADD45B,GCH1,GHRL,GRAMD4,HGF,ICAM1,IQGAP3,ITK,ITSN1,JAK2,KARS1,KITLG,KLF4,LRRK2,LTC4S,LYN,MEFV,MMD,MMP9,NCAPG2,NCAPH,NCF1,NCF1B,NCF1C,NLRP12,NOD2,NRK,NRP1,P2RX7,PKIB,PLAAT4,PLEK,PMAIP1,PML,PSME1,PSME2,PYHIN1,RALB,RAPGEF2,RASGRF1,RGS18,RHEBL1,RIPK2,RSU1,S100A10,S1PR1,SERINC5,SH3PXD2A,SLC11A1,SOCS1,STAP1,STMN1,SYNGR3,TAGAP,TAL1,TESC,TNFAIP8L3,TNFRSF11A,TNFSF10,TNFSF18,TRDN,TRIM22,TRIM31,UHRF1,USP6NL,VPS9D1"
"381"	"GO:0002695"	"negative regulation of leukocyte activation"	143	25	7.94	156	0.02782	2.8e-07	"BANK1,BCL6,BTN2A2,CD274,CD300LF,CD74,CD80,CEACAM1,CTLA4,FGL1,FGL2,HLA-F,HLA-G,IDO1,IL31RA,IRF1,JAK3,LAG3,LYN,PDCD1LG2,SOCS1,TBX21,TNFRSF21,TSPAN32,ZC3H12A"
"382"	"GO:0032091"	"negative regulation of protein binding"	91	10	5.05	937	0.02816	0.02911	"AURKB,B2M,CARD16,DAB2,DTNBP1,IFIT2,LRRK2,RALB,STMN1,XIRP1"
"383"	"GO:1902106"	"negative regulation of leukocyte differentiation"	80	16	4.44	237	0.02822	6.6e-06	"BCL6,CD74,CEACAM1,CTLA4,FGL2,HLA-G,IRF1,JAK3,LAG3,LILRB3,LYN,SOCS1,TBX21,TMEM176A,TMEM176B,ZC3H12A"
"384"	"GO:0003158"	"endothelium development"	104	11	5.77	938	0.02824	0.02926	"CDH5,CEACAM1,COL23A1,CXCL10,DLL1,ICAM1,MARVELD2,NRP1,RAPGEF2,S1PR1,SOX17"
"385"	"GO:0002699"	"positive regulation of immune effector process"	176	29	9.77	140	0.02845	1.2e-07	"APPL2,B2M,C3,CD1A,CD1C,CD28,CD40,CD74,CD80,DDX60,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-E,HLA-F,HLA-G,IL12A,IL12RB1,KARS1,KLRK1,LAG3,LYN,NOD2,P2RX7,RIPK2,RSAD2,SLAMF6,TBX21"
"386"	"GO:0002292"	"T cell differentiation involved in immune response"	61	13	3.39	264	0.02855	2.4e-05	"BCL6,CD80,FGL2,GPR183,IL12RB1,IL27,JAK3,PTGER4,RELB,RIPK2,SLAMF6,TBX21,ZC3H12A"
"387"	"GO:0010522"	"regulation of calcium ion transport into cytosol"	75	12	4.16	433	0.02886	0.00081	"ANK2,CAMK2D,CXCL10,CXCL11,CXCL9,F2RL3,LYN,P2RX4,P2RX7,PML,SRI,TRDN"
"388"	"GO:0035690"	"cellular response to drug"	303	25	16.82	951	0.02919	0.03092	"ACOD1,AIM2,B2M,BRCA1,CASTOR1,CCL7,CCNA2,CD69,CDK1,CRHBP,EDN1,HGF,ICAM1,KLF4,LRRK2,MT2A,NOD2,P2RX4,P2RX7,PDE4B,PPM1E,RIPK2,SLAMF8,XRN1,ZC3H12A"
"389"	"GO:0010107"	"potassium ion import"	32	5	1.78	944	0.02952	0.03015	"ATP1B2,KCNJ10,KCNJ15,KCNJ2,SLC12A3"
"390"	"GO:1902042"	"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors"	32	5	1.78	945	0.02952	0.03015	"BRCA1,FAS,HGF,ICAM1,TNFSF10"
"391"	"GO:0007431"	"salivary gland development"	32	5	1.78	946	0.02952	0.03015	"EDA,HGF,NRP1,POLB,TGM2"
"392"	"GO:0048661"	"positive regulation of smooth muscle cell proliferation"	79	9	4.39	950	0.02957	0.03049	"AGT,CCL5,EDN1,HBEGF,JAK2,MMP9,S1PR1,STAT1,TGM2"
"393"	"GO:0070206"	"protein trimerization"	43	6	2.39	948	0.0296	0.03031	"ASIC1,C1QTNF5,CD74,HLA-G,STEAP4,TRIM22"
"394"	"GO:1903707"	"negative regulation of hemopoiesis"	117	19	6.5	262	0.02984	2.2e-05	"BCL6,CD74,CEACAM1,CTLA4,DLL1,FGL2,HLA-G,IRF1,JAK3,LAG3,LILRB3,LYN,NCAPG2,SOCS1,TAL1,TBX21,TMEM176A,TMEM176B,ZC3H12A"
"395"	"GO:0055076"	"transition metal ion homeostasis"	105	11	5.83	956	0.03004	0.03111	"ABCG2,ATP13A2,B2M,EPAS1,MT2A,SCO2,SLC11A1,SLC25A28,SLC31A2,SRI,STEAP4"
"396"	"GO:0071359"	"cellular response to dsRNA"	22	4	1.22	952	0.03045	0.031	"COLEC12,IFIH1,P2RX7,RALB"
